"Step","Fcrimnet_20datasetBaseline - test/micro_f1","Fcrimnet_20datasetBaseline - test/micro_f1__MIN","Fcrimnet_20datasetBaseline - test/micro_f1__MAX","Fcrimnet_FulldatasetBaseline - test/micro_f1","Fcrimnet_FulldatasetBaseline - test/micro_f1__MIN","Fcrimnet_FulldatasetBaseline - test/micro_f1__MAX"
"1","0.5835070255507241","0.5835070255507241","0.5835070255507241","0.49180651884860027","0.49180651884860027","0.49180651884860027"
"2","0.5423419700291084","0.5423419700291084","0.5423419700291084","0.4828134545585223","0.4828134545585223","0.4828134545585223"
"3","0.5243738096093722","0.5243738096093722","0.5243738096093722","0.4659952564056492","0.4659952564056492","0.4659952564056492"
"4","0.5110953390591871","0.5110953390591871","0.5110953390591871","0.46823229237790637","0.46823229237790637","0.46823229237790637"
"5","0.5008355194595178","0.5008355194595178","0.5008355194595178","0.4732813454558522","0.4732813454558522","0.4732813454558522"
"6","0.4876648578718511","0.4876648578718511","0.4876648578718511","0.47561720631041793","0.47561720631041793","0.47561720631041793"
"7","0.4898839256836885","0.4898839256836885","0.4898839256836885","0.4810256225967585","0.4810256225967585","0.4810256225967585"
"8","0.4868742588133827","0.4868742588133827","0.4868742588133827","0.4891202788658497","0.4891202788658497","0.4891202788658497"
"9","0.48003737377367306","0.48003737377367306","0.48003737377367306","0.48776368275415966","0.48776368275415966","0.48776368275415966"
"10","0.4906116361806878","0.4906116361806878","0.4906116361806878","0.488760915657455","0.488760915657455","0.488760915657455"
"11","0.47319150465375354","0.47319150465375354","0.47319150465375354","0.4952653897293995","0.4952653897293995","0.4952653897293995"
"12","0.47203255830668056","0.47203255830668056","0.47203255830668056","0.500341395047975","0.500341395047975","0.500341395047975"
"13","0.47449419628418443","0.47449419628418443","0.47449419628418443","0.4992633054227908","0.4992633054227908","0.4992633054227908"
"14","0.4661030653681676","0.4661030653681676","0.4661030653681676","0.49557983253674487","0.49557983253674487","0.49557983253674487"
"15","0.4872156538613577","0.4872156538613577","0.4872156538613577","0.5005839652136415","0.5005839652136415","0.5005839652136415"
"16","0.4906385884213174","0.4906385884213174","0.4906385884213174","0.5063517447083767","0.5063517447083767","0.5063517447083767"
"17","0.4992363531821612","0.4992363531821612","0.4992363531821612","0.4986523879685198","0.4986523879685198","0.4986523879685198"
"18","0.4937470801739318","0.4937470801739318","0.4937470801739318","0.5017429115607144","0.5017429115607144","0.5017429115607144"
"19","0.4884644410105293","0.4884644410105293","0.4884644410105293","0.4981672476371869","0.4981672476371869","0.4981672476371869"
"20","0.4964512883171021","0.4964512883171021","0.4964512883171021","0.5024346857368742","0.5024346857368742","0.5024346857368742"
"21","0.477997987566033","0.477997987566033","0.477997987566033","0.5010870737053941","0.5010870737053941","0.5010870737053941"
"22","0.4992363531821612","0.4992363531821612","0.4992363531821612","0.5028120171056887","0.5028120171056887","0.5028120171056887"
"23","0.48974916448054046","0.48974916448054046","0.48974916448054046","0.4986703561289395","0.4986703561289395","0.4986703561289395"
"24","0.4886980270959859","0.4886980270959859","0.4886980270959859","0.5029647464692565","0.5029647464692565","0.5029647464692565"
"25","0.4813400654041039","0.4813400654041039","0.4813400654041039","0.502452653897294","0.502452653897294","0.502452653897294"
"26","0.48808710964171487","0.48808710964171487","0.48808710964171487","0.49897581485607506","0.49897581485607506","0.49897581485607506"
"27","0.48383763970244725","0.48383763970244725","0.48383763970244725","0.5045369605059834","0.5045369605059834","0.5045369605059834"
"28","0.4750871455780357","0.4750871455780357","0.4750871455780357","0.5037104251266755","0.5037104251266755","0.5037104251266755"
"29","0.5015722140367269","0.5015722140367269","0.5015722140367269","0.5072591368095735","0.5072591368095735","0.5072591368095735"
"30","0.4815197470083013","0.4815197470083013","0.4815197470083013","0.500817551299098","0.500817551299098","0.500817551299098"
"31","0.4810166385165487","0.4810166385165487","0.4810166385165487","0.5034139504797499","0.5034139504797499","0.5034139504797499"
"32","0.48728752650303664","0.48728752650303664","0.48728752650303664","0.5027850648650591","0.5027850648650591","0.5027850648650591"
"33","0.49474431307722716","0.49474431307722716","0.49474431307722716","0.5013835483523197","0.5013835483523197","0.5013835483523197"
"34","0.49830200884033493","0.49830200884033493","0.49830200884033493","0.5022280518920473","0.5022280518920473","0.5022280518920473"
"35","0.48751212850828335","0.48751212850828335","0.48751212850828335","0.5057587954145255","0.5057587954145255","0.5057587954145255"
"36","0.49094404714845297","0.49094404714845297","0.49094404714845297","0.506199015344809","0.506199015344809","0.506199015344809"
"37","0.49640636791605275","0.49640636791605275","0.49640636791605275","0.5075196751356597","0.5075196751356597","0.5075196751356597"
"38","0.4936302871312035","0.4936302871312035","0.4936302871312035","0.5055341934092787","0.5055341934092787","0.5055341934092787"
"39","0.4852571243756064","0.4852571243756064","0.4852571243756064","0.5054623207675998","0.5054623207675998","0.5054623207675998"
"40","0.4888417723793438","0.4888417723793438","0.4888417723793438","0.5029288101484171","0.5029288101484171","0.5029288101484171"
"41","0.48381967154202754","0.48381967154202754","0.48381967154202754","0.5046178172278722","0.5046178172278722","0.5046178172278722"
"42","0.488554281812628","0.488554281812628","0.488554281812628","0.5059205088583031","0.5059205088583031","0.5059205088583031"
"43","0.48911129478563986","0.48911129478563986","0.48911129478563986","0.5074298343335609","0.5074298343335609","0.5074298343335609"
"44","0.4831548496064973","0.4831548496064973","0.4831548496064973","0.5049502281956373","0.5049502281956373","0.5049502281956373"
"45","0.48172638085312824","0.48172638085312824","0.48172638085312824","0.5065224422323642","0.5065224422323642","0.5065224422323642"
"46","0.48547274230064325","0.48547274230064325","0.48547274230064325","0.5058306680562044","0.5058306680562044","0.5058306680562044"
"47","0.49618176591080604","0.49618176591080604","0.49618176591080604","0.504833435152909","0.504833435152909","0.504833435152909"
"48","0.4911866173141194","0.4911866173141194","0.4911866173141194","0.5043033744205269","0.5043033744205269","0.5043033744205269"
"49","0.49516656484709093","0.49516656484709093","0.49516656484709093","0.5047525784310203","0.5047525784310203","0.5047525784310203"
"50","0.4952204693283502","0.4952204693283502","0.4952204693283502","0.5045818809070327","0.5045818809070327","0.5045818809070327"
"51","0.49023430481187336","0.49023430481187336","0.49023430481187336","0.5053545118050814","0.5053545118050814","0.5053545118050814"
"52","0.4943849498688324","0.4943849498688324","0.4943849498688324","","",""
"53","0.4884824091709491","0.4884824091709491","0.4884824091709491","","",""
"54","0.4893089445502569","0.4893089445502569","0.4893089445502569","","",""
"55","0.4900815754483056","0.4900815754483056","0.4900815754483056","","",""
"56","0.49246235670392063","0.49246235670392063","0.49246235670392063","","",""
"57","0.49853559492579147","0.49853559492579147","0.49853559492579147","","",""
"58","0.49448377475114097","0.49448377475114097","0.49448377475114097","","",""
"59","0.49192331189132854","0.49192331189132854","0.49192331189132854","","",""
"60","0.4911506809932799","0.4911506809932799","0.4911506809932799","","",""
"61","0.4980594386746685","0.4980594386746685","0.4980594386746685","","",""
"62","0.499451971107198","0.499451971107198","0.499451971107198","","",""
"63","0.4879074280375175","0.4879074280375175","0.4879074280375175","","",""
"64","0.49541811909296724","0.49541811909296724","0.49541811909296724","","",""
"65","0.4917526143673411","0.4917526143673411","0.4917526143673411","","",""
"66","0.4917076939662917","0.4917076939662917","0.4917076939662917","","",""
"67","0.49069249290257666","0.49069249290257666","0.49069249290257666","","",""
"68","0.49666690624213894","0.49666690624213894","0.49666690624213894","","",""
"69","0.497619218744385","0.497619218744385","0.497619218744385","","",""
"70","0.4944208861896719","0.4944208861896719","0.4944208861896719","","",""
"71","0.49181550292881016","0.49181550292881016","0.49181550292881016","","",""
"72","0.4892730082294175","0.4892730082294175","0.4892730082294175","","",""
"73","0.49186042332985946","0.49186042332985946","0.49186042332985946","","",""
"74","0.4940525389010673","0.4940525389010673","0.4940525389010673","","",""
"75","0.4887339634168254","0.4887339634168254","0.4887339634168254","","",""
"76","0.4944298702698818","0.4944298702698818","0.4944298702698818","","",""
"77","0.48514931541308803","0.48514931541308803","0.48514931541308803","","",""
"78","0.48603873935386493","0.48603873935386493","0.48603873935386493","","",""
"79","0.4960290365472383","0.4960290365472383","0.4960290365472383","","",""
"80","0.49103388795055164","0.49103388795055164","0.49103388795055164","","",""
"81","0.49507672404499226","0.49507672404499226","0.49507672404499226","","",""
"82","0.4893448808710964","0.4893448808710964","0.4893448808710964","","",""
"83","0.49417831602400547","0.49417831602400547","0.49417831602400547","","",""
"84","0.49911057605922304","0.49911057605922304","0.49911057605922304","","",""
"85","0.49268695870916734","0.49268695870916734","0.49268695870916734","","",""
"86","0.4957145937398929","0.4957145937398929","0.4957145937398929","","",""
"87","0.49772702770690336","0.49772702770690336","0.49772702770690336","","",""
"88","0.49024328889208324","0.49024328889208324","0.49024328889208324","","",""
"89","0.5008085672188881","0.5008085672188881","0.5008085672188881","","",""
"90","0.48966830775865167","0.48966830775865167","0.48966830775865167","","",""
"91","0.4926150860674884","0.4926150860674884","0.4926150860674884","","",""
"92","0.4960110683868186","0.4960110683868186","0.4960110683868186","","",""
"93","0.4927947676716858","0.4927947676716858","0.4927947676716858","","",""
"94","0.4980594386746685","0.4980594386746685","0.4980594386746685","","",""
"95","0.49634347935458367","0.49634347935458367","0.49634347935458367","","",""
"96","0.493594350810364","0.493594350810364","0.493594350810364","","",""
"97","0.49668487440255865","0.49668487440255865","0.49668487440255865","","",""
"98","0.4922197865382542","0.4922197865382542","0.4922197865382542","","",""
"99","0.4932619398425989","0.4932619398425989","0.4932619398425989","","",""
"100","0.49854457900600135","0.49854457900600135","0.49854457900600135","","",""