"Step","meta_fed_r50_iid_20pct - test/micro_auc","meta_fed_r50_iid_20pct - test/micro_auc__MIN","meta_fed_r50_iid_20pct - test/micro_auc__MAX"
"1","0.5108335015188649","0.5108335015188649","0.5108335015188649"
"2","0.5261825257777394","0.5261825257777394","0.5261825257777394"
"3","0.5287598378018995","0.5287598378018995","0.5287598378018995"
"4","0.5275258325033576","0.5275258325033576","0.5275258325033576"
"5","0.5189451199825237","0.5189451199825237","0.5189451199825237"
"6","0.5351936819747525","0.5351936819747525","0.5351936819747525"
"7","0.5261381225279744","0.5261381225279744","0.5261381225279744"
"8","0.5368498926762435","0.5368498926762435","0.5368498926762435"
"9","0.5386275637707182","0.5386275637707182","0.5386275637707182"
"10","0.5483325485527308","0.5483325485527308","0.5483325485527308"
"11","0.5309922535762225","0.5309922535762225","0.5309922535762225"
"12","0.5324704745536805","0.5324704745536805","0.5324704745536805"
"13","0.5600377461800907","0.5600377461800907","0.5600377461800907"
"14","0.5570997775633123","0.5570997775633123","0.5570997775633123"
"15","0.5711202608913811","0.5711202608913811","0.5711202608913811"
"16","0.5808014675889343","0.5808014675889343","0.5808014675889343"
"17","0.5742261450265795","0.5742261450265795","0.5742261450265795"
"18","0.5823772983691807","0.5823772983691807","0.5823772983691807"
"19","0.5908117019440576","0.5908117019440576","0.5908117019440576"
"20","0.5548906867063961","0.5548906867063961","0.5548906867063961"
"21","0.5722164913391053","0.5722164913391053","0.5722164913391053"
"22","0.6010863093299179","0.6010863093299179","0.6010863093299179"
"23","0.5936638919580476","0.5936638919580476","0.5936638919580476"
"24","0.6134969585537131","0.6134969585537131","0.6134969585537131"
"25","0.6030550027966441","0.6030550027966441","0.6030550027966441"
"26","0.6056760146382806","0.6056760146382806","0.6056760146382806"
"27","0.6086058832847493","0.6086058832847493","0.6086058832847493"
"28","0.6419375751018166","0.6419375751018166","0.6419375751018166"
"29","0.6471200603046064","0.6471200603046064","0.6471200603046064"
"30","0.6305263846819278","0.6305263846819278","0.6305263846819278"
"31","0.5909176211847222","0.5909176211847222","0.5909176211847222"
"32","0.6354576144316354","0.6354576144316354","0.6354576144316354"
"33","0.653560805486154","0.653560805486154","0.653560805486154"
"34","0.6388324914757542","0.6388324914757542","0.6388324914757542"
"35","0.668059605165668","0.668059605165668","0.668059605165668"
"36","0.6196450726218222","0.6196450726218222","0.6196450726218222"
"37","0.6553695179882567","0.6553695179882567","0.6553695179882567"
"38","0.6526533228179803","0.6526533228179803","0.6526533228179803"
"39","0.6485099647891815","0.6485099647891815","0.6485099647891815"
"40","0.6591070108413409","0.6591070108413409","0.6591070108413409"
"41","0.6722554013593018","0.6722554013593018","0.6722554013593018"
"42","0.6406776180648007","0.6406776180648007","0.6406776180648007"
"43","0.6660884057124877","0.6660884057124877","0.6660884057124877"
"44","0.6667456388872223","0.6667456388872223","0.6667456388872223"
"45","0.6488833463090479","0.6488833463090479","0.6488833463090479"
"46","0.7060002608431258","0.7060002608431258","0.7060002608431258"
"47","0.684025692624608","0.684025692624608","0.684025692624608"
"48","0.6564642716826548","0.6564642716826548","0.6564642716826548"
"49","0.6989474393479822","0.6989474393479822","0.6989474393479822"
"50","0.696653531359152","0.696653531359152","0.696653531359152"
"51","0.6893523645308614","0.6893523645308614","0.6893523645308614"
"52","0.6993507655284456","0.6993507655284456","0.6993507655284456"
"53","0.7078143754384785","0.7078143754384785","0.7078143754384785"
"54","0.6913779602693799","0.6913779602693799","0.6913779602693799"
"55","0.6873054719617976","0.6873054719617976","0.6873054719617976"
"56","0.6944789792902427","0.6944789792902427","0.6944789792902427"
"57","0.6879467274721219","0.6879467274721219","0.6879467274721219"
"58","0.7029664875419356","0.7029664875419356","0.7029664875419356"
"59","0.7073553879251697","0.7073553879251697","0.7073553879251697"
"60","0.6988237450482093","0.6988237450482093","0.6988237450482093"
"61","0.7253666859666461","0.7253666859666461","0.7253666859666461"
"62","0.7203374116746546","0.7203374116746546","0.7203374116746546"
"63","0.7249330535561616","0.7249330535561616","0.7249330535561616"
"64","0.7251734595392557","0.7251734595392557","0.7251734595392557"
"65","0.7177136080331539","0.7177136080331539","0.7177136080331539"
"66","0.7389135211596457","0.7389135211596457","0.7389135211596457"
"67","0.7030611519001287","0.7030611519001287","0.7030611519001287"
"68","0.7265133154562982","0.7265133154562982","0.7265133154562982"
"69","0.7089990430771065","0.7089990430771065","0.7089990430771065"
"70","0.726159933598523","0.726159933598523","0.726159933598523"
"71","0.7072725599885326","0.7072725599885326","0.7072725599885326"
"72","0.736258358142011","0.736258358142011","0.736258358142011"
"73","0.7446398755693027","0.7446398755693027","0.7446398755693027"
"74","0.7346415606715032","0.7346415606715032","0.7346415606715032"
"75","0.7238832105895868","0.7238832105895868","0.7238832105895868"
"76","0.7321879007276433","0.7321879007276433","0.7321879007276433"
"77","0.7370197596227593","0.7370197596227593","0.7370197596227593"
"78","0.7437568556891955","0.7437568556891955","0.7437568556891955"
"79","0.7278751855251393","0.7278751855251393","0.7278751855251393"
"80","0.7291151578445155","0.7291151578445155","0.7291151578445155"
"81","0.7441345494159446","0.7441345494159446","0.7441345494159446"
"82","0.7397970284325182","0.7397970284325182","0.7397970284325182"
"83","0.748288680351581","0.748288680351581","0.748288680351581"
"84","0.7310553880884699","0.7310553880884699","0.7310553880884699"
"85","0.7420156021554577","0.7420156021554577","0.7420156021554577"
"86","0.739743484238577","0.739743484238577","0.739743484238577"
"87","0.7274697637128676","0.7274697637128676","0.7274697637128676"
"88","0.7362822292521114","0.7362822292521114","0.7362822292521114"
"89","0.7500558536363335","0.7500558536363335","0.7500558536363335"
"90","0.7454980986960043","0.7454980986960043","0.7454980986960043"
"91","0.7392721957218801","0.7392721957218801","0.7392721957218801"
"92","0.7558675530858411","0.7558675530858411","0.7558675530858411"
"93","0.7480006662044246","0.7480006662044246","0.7480006662044246"
"94","0.7572876557961973","0.7572876557961973","0.7572876557961973"
"95","0.7587200292267833","0.7587200292267833","0.7587200292267833"
"96","0.7558034199408915","0.7558034199408915","0.7558034199408915"
"97","0.7524176027697806","0.7524176027697806","0.7524176027697806"
"98","0.7617123146134909","0.7617123146134909","0.7617123146134909"
"99","0.7601038007462672","0.7601038007462672","0.7601038007462672"
"100","0.7551783249673811","0.7551783249673811","0.7551783249673811"