"Step","Fcrimnet_20datasetBaseline - test/micro_auc","Fcrimnet_20datasetBaseline - test/micro_auc__MIN","Fcrimnet_20datasetBaseline - test/micro_auc__MAX"
"1","0.8132912156924887","0.8132912156924887","0.8132912156924887"
"2","0.8316718503676093","0.8316718503676093","0.8316718503676093"
"3","0.8432487981365162","0.8432487981365162","0.8432487981365162"
"4","0.844871666469134","0.844871666469134","0.844871666469134"
"5","0.848905071286021","0.848905071286021","0.848905071286021"
"6","0.8500313337358757","0.8500313337358757","0.8500313337358757"
"7","0.8551566322224915","0.8551566322224915","0.8551566322224915"
"8","0.8534943410415431","0.8534943410415431","0.8534943410415431"
"9","0.8533300194246667","0.8533300194246667","0.8533300194246667"
"10","0.8548586466586152","0.8548586466586152","0.8548586466586152"
"11","0.849095741606856","0.849095741606856","0.849095741606856"
"12","0.8498996305946616","0.8498996305946616","0.8498996305946616"
"13","0.8506055553409989","0.8506055553409989","0.8506055553409989"
"14","0.8460123849967189","0.8460123849967189","0.8460123849967189"
"15","0.8548323159103499","0.8548323159103499","0.8548323159103499"
"16","0.8545957054174668","0.8545957054174668","0.8545957054174668"
"17","0.8535624158895662","0.8535624158895662","0.8535624158895662"
"18","0.8557312042150875","0.8557312042150875","0.8557312042150875"
"19","0.8570872780812173","0.8570872780812173","0.8570872780812173"
"20","0.8573634880488354","0.8573634880488354","0.8573634880488354"
"21","0.8500499844237366","0.8500499844237366","0.8500499844237366"
"22","0.8584607767493658","0.8584607767493658","0.8584607767493658"
"23","0.8548139455256376","0.8548139455256376","0.8548139455256376"
"24","0.8547880522269848","0.8547880522269848","0.8547880522269848"
"25","0.8524189826157585","0.8524189826157585","0.8524189826157585"
"26","0.8553779833345729","0.8553779833345729","0.8553779833345729"
"27","0.8514112711684791","0.8514112711684791","0.8514112711684791"
"28","0.849424834055795","0.849424834055795","0.849424834055795"
"29","0.8589651672074583","0.8589651672074583","0.8589651672074583"
"30","0.8517508059551","0.8517508059551","0.8517508059551"
"31","0.8533621128763549","0.8533621128763549","0.8533621128763549"
"32","0.8561455081692738","0.8561455081692738","0.8561455081692738"
"33","0.8561264407907424","0.8561264407907424","0.8561264407907424"
"34","0.8582724927507196","0.8582724927507196","0.8582724927507196"
"35","0.8544752484199145","0.8544752484199145","0.8544752484199145"
"36","0.8560623405459374","0.8560623405459374","0.8560623405459374"
"37","0.8576013632508492","0.8576013632508492","0.8576013632508492"
"38","0.8576804405989261","0.8576804405989261","0.8576804405989261"
"39","0.8533317481133813","0.8533317481133813","0.8533317481133813"
"40","0.8532288703014199","0.8532288703014199","0.8532288703014199"
"41","0.8526870889623241","0.8526870889623241","0.8526870889623241"
"42","0.8539992760811593","0.8539992760811593","0.8539992760811593"
"43","0.851418133797811","0.851418133797811","0.851418133797811"
"44","0.8514388949936352","0.8514388949936352","0.8514388949936352"
"45","0.847803898903148","0.847803898903148","0.847803898903148"
"46","0.8505102868842435","0.8505102868842435","0.8505102868842435"
"47","0.8570966608715695","0.8570966608715695","0.8570966608715695"
"48","0.8523339243144217","0.8523339243144217","0.8523339243144217"
"49","0.8566432292514607","0.8566432292514607","0.8566432292514607"
"50","0.8555551535351857","0.8555551535351857","0.8555551535351857"
"51","0.852713192125903","0.852713192125903","0.852713192125903"
"52","0.8551987989112286","0.8551987989112286","0.8551987989112286"
"53","0.8502461721652773","0.8502461721652773","0.8502461721652773"
"54","0.8521254501569413","0.8521254501569413","0.8521254501569413"
"55","0.8523970258669201","0.8523970258669201","0.8523970258669201"
"56","0.8531071174175195","0.8531071174175195","0.8531071174175195"
"57","0.8580167470860081","0.8580167470860081","0.8580167470860081"
"58","0.8565680839611707","0.8565680839611707","0.8565680839611707"
"59","0.853145215372241","0.853145215372241","0.853145215372241"
"60","0.8481291248865968","0.8481291248865968","0.8481291248865968"
"61","0.8550593548763172","0.8550593548763172","0.8550593548763172"
"62","0.8543162797820032","0.8543162797820032","0.8543162797820032"
"63","0.8502538558112325","0.8502538558112325","0.8502538558112325"
"64","0.8538483046867519","0.8538483046867519","0.8538483046867519"
"65","0.8532000332345329","0.8532000332345329","0.8532000332345329"
"66","0.851007747841706","0.851007747841706","0.851007747841706"
"67","0.850451708244839","0.850451708244839","0.850451708244839"
"68","0.8555885864834535","0.8555885864834535","0.8555885864834535"
"69","0.8552178485358511","0.8552178485358511","0.8552178485358511"
"70","0.8528181535712709","0.8528181535712709","0.8528181535712709"
"71","0.8488452439591551","0.8488452439591551","0.8488452439591551"
"72","0.850394462166845","0.850394462166845","0.850394462166845"
"73","0.8492174648626207","0.8492174648626207","0.8492174648626207"
"74","0.851625701112068","0.851625701112068","0.851625701112068"
"75","0.8502759430182406","0.8502759430182406","0.8502759430182406"
"76","0.8512675035025923","0.8512675035025923","0.8512675035025923"
"77","0.8473952384041056","0.8473952384041056","0.8473952384041056"
"78","0.8483009179096572","0.8483009179096572","0.8483009179096572"
"79","0.8515601814361838","0.8515601814361838","0.8515601814361838"
"80","0.8495421211222289","0.8495421211222289","0.8495421211222289"
"81","0.852097116737316","0.852097116737316","0.852097116737316"
"82","0.8498229143923088","0.8498229143923088","0.8498229143923088"
"83","0.852442458219429","0.852442458219429","0.852442458219429"
"84","0.8525314823355044","0.8525314823355044","0.8525314823355044"
"85","0.8519239914912218","0.8519239914912218","0.8519239914912218"
"86","0.8540502418729383","0.8540502418729383","0.8540502418729383"
"87","0.8524200417812502","0.8524200417812502","0.8524200417812502"
"88","0.8483399118329835","0.8483399118329835","0.8483399118329835"
"89","0.8557961707320652","0.8557961707320652","0.8557961707320652"
"90","0.8488636527170217","0.8488636527170217","0.8488636527170217"
"91","0.8495286222344429","0.8495286222344429","0.8495286222344429"
"92","0.8502933063226308","0.8502933063226308","0.8502933063226308"
"93","0.8481958139549436","0.8481958139549436","0.8481958139549436"
"94","0.8526147860576561","0.8526147860576561","0.8526147860576561"
"95","0.8536152852983724","0.8536152852983724","0.8536152852983724"
"96","0.8494735141381132","0.8494735141381132","0.8494735141381132"
"97","0.8520278256332158","0.8520278256332158","0.8520278256332158"
"98","0.8511661444864803","0.8511661444864803","0.8511661444864803"
"99","0.8499800903107089","0.8499800903107089","0.8499800903107089"
"100","0.8529883873174585","0.8529883873174585","0.8529883873174585"